TuringOS Phase 7 Web MVP — workspace: /home/zephryj/projects/turingosv4/handover/evidence/stress_st07_taskopen_concurrent_malformed_20260523T140727Z/workspace
  (set TURINGOS_WEB_WORKSPACE to override; TURINGOS_BACKEND_OVERRIDE to replace the turingos binary)
TuringOS Phase 7 Web MVP listening on http://127.0.0.1:8080
[2026-05-23T14:07:28Z WARN  turingos_web::web::write] task_open_handler: CLI exit 0 but stdout has no parseable task id; returning 502 BAD_GATEWAY. stdout="ERR: gibberish e9d16899360bd4f8\n"
[2026-05-23T14:07:28Z WARN  turingos_web::web::write] task_open_handler: CLI exit 0 but stdout has no parseable task id; returning 502 BAD_GATEWAY. stdout="ERR: gibberish 406e997f00bb311e\n"
[2026-05-23T14:07:29Z WARN  turingos_web::web::write] task_open_handler: CLI exit 0 but stdout has no parseable task id; returning 502 BAD_GATEWAY. stdout="ERR: gibberish 51bf9fac5fa63ed4\n"
[2026-05-23T14:07:29Z WARN  turingos_web::web::write] task_open_handler: CLI exit 0 but stdout has no parseable task id; returning 502 BAD_GATEWAY. stdout="ERR: gibberish cea12cd7a6655dde\n"
[2026-05-23T14:07:29Z WARN  turingos_web::web::write] task_open_handler: CLI exit 0 but stdout has no parseable task id; returning 502 BAD_GATEWAY. stdout="ERR: gibberish be226b2a36ce772c\n"
[2026-05-23T14:07:29Z WARN  turingos_web::web::write] task_open_handler: CLI exit 0 but stdout has no parseable task id; returning 502 BAD_GATEWAY. stdout="ERR: gibberish 9f7130e5b3dad53f\n"
[2026-05-23T14:07:29Z WARN  turingos_web::web::write] task_open_handler: CLI exit 0 but stdout has no parseable task id; returning 502 BAD_GATEWAY. stdout="ERR: gibberish e1628e77a4c4b8d6\n"
[2026-05-23T14:07:29Z WARN  turingos_web::web::write] task_open_handler: CLI exit 0 but stdout has no parseable task id; returning 502 BAD_GATEWAY. stdout="ERR: gibberish 731749b82a9c000f\n"
[2026-05-23T14:07:29Z WARN  turingos_web::web::write] task_open_handler: CLI exit 0 but stdout has no parseable task id; returning 502 BAD_GATEWAY. stdout="ERR: gibberish c5d8706208a90a9e\n"
[2026-05-23T14:07:29Z WARN  turingos_web::web::write] task_open_handler: CLI exit 0 but stdout has no parseable task id; returning 502 BAD_GATEWAY. stdout="ERR: gibberish f446bae74aefb058\n"
[2026-05-23T14:07:29Z WARN  turingos_web::web::write] task_open_handler: CLI exit 0 but stdout has no parseable task id; returning 502 BAD_GATEWAY. stdout="ERR: gibberish 8016fd1566b5b099\n"
[2026-05-23T14:07:29Z WARN  turingos_web::web::write] task_open_handler: CLI exit 0 but stdout has no parseable task id; returning 502 BAD_GATEWAY. stdout="ERR: gibberish fd66d518aa89200d\n"
[2026-05-23T14:07:29Z WARN  turingos_web::web::write] task_open_handler: CLI exit 0 but stdout has no parseable task id; returning 502 BAD_GATEWAY. stdout="ERR: gibberish fe7eb7278722c11d\n"
[2026-05-23T14:07:29Z WARN  turingos_web::web::write] task_open_handler: CLI exit 0 but stdout has no parseable task id; returning 502 BAD_GATEWAY. stdout="ERR: gibberish 7a5fbc511b063dab\n"
[2026-05-23T14:07:29Z WARN  turingos_web::web::write] task_open_handler: CLI exit 0 but stdout has no parseable task id; returning 502 BAD_GATEWAY. stdout="ERR: gibberish 92233b4428afa123\n"
[2026-05-23T14:07:29Z WARN  turingos_web::web::write] task_open_handler: CLI exit 0 but stdout has no parseable task id; returning 502 BAD_GATEWAY. stdout="ERR: gibberish 33f01934a5379e04\n"
[2026-05-23T14:07:29Z WARN  turingos_web::web::write] task_open_handler: CLI exit 0 but stdout has no parseable task id; returning 502 BAD_GATEWAY. stdout="ERR: gibberish df1200349e3ded41\n"
[2026-05-23T14:07:29Z WARN  turingos_web::web::write] task_open_handler: CLI exit 0 but stdout has no parseable task id; returning 502 BAD_GATEWAY. stdout="ERR: gibberish 96f1378e81ba66ef\n"
[2026-05-23T14:07:30Z WARN  turingos_web::web::write] task_open_handler: CLI exit 0 but stdout has no parseable task id; returning 502 BAD_GATEWAY. stdout="ERR: gibberish 9a3ff167c63cf69b\n"
[2026-05-23T14:07:30Z WARN  turingos_web::web::write] task_open_handler: CLI exit 0 but stdout has no parseable task id; returning 502 BAD_GATEWAY. stdout="ERR: gibberish f7a3f81fcb4d5d47\n"
[2026-05-23T14:07:30Z WARN  turingos_web::web::write] task_open_handler: CLI exit 0 but stdout has no parseable task id; returning 502 BAD_GATEWAY. stdout="ERR: gibberish 0236d8919f914831\n"
[2026-05-23T14:07:30Z WARN  turingos_web::web::write] task_open_handler: CLI exit 0 but stdout has no parseable task id; returning 502 BAD_GATEWAY. stdout="ERR: gibberish 674f6bc9e34c09ca\n"
[2026-05-23T14:07:30Z WARN  turingos_web::web::write] task_open_handler: CLI exit 0 but stdout has no parseable task id; returning 502 BAD_GATEWAY. stdout="ERR: gibberish 5ab41f5980bec0af\n"
[2026-05-23T14:07:30Z WARN  turingos_web::web::write] task_open_handler: CLI exit 0 but stdout has no parseable task id; returning 502 BAD_GATEWAY. stdout="ERR: gibberish f46d611df636f9a3\n"
[2026-05-23T14:07:30Z WARN  turingos_web::web::write] task_open_handler: CLI exit 0 but stdout has no parseable task id; returning 502 BAD_GATEWAY. stdout="ERR: gibberish 89b6984ac18dc6e9\n"
[2026-05-23T14:07:30Z WARN  turingos_web::web::write] task_open_handler: CLI exit 0 but stdout has no parseable task id; returning 502 BAD_GATEWAY. stdout="ERR: gibberish e8719cf32aaf082c\n"
[2026-05-23T14:07:30Z WARN  turingos_web::web::write] task_open_handler: CLI exit 0 but stdout has no parseable task id; returning 502 BAD_GATEWAY. stdout="ERR: gibberish da15c8b90c3eaf2a\n"
[2026-05-23T14:07:30Z WARN  turingos_web::web::write] task_open_handler: CLI exit 0 but stdout has no parseable task id; returning 502 BAD_GATEWAY. stdout="ERR: gibberish c42dc1c9e6d38a20\n"
